Name,Jutsu,Appears In,Sex,Classification,Clan,Tools,Occupation,Team,Affiliation,Nature Type,Images
Benten,Barrier Shattering Technique;Chakra Transfer Technique;Combination Transformation;Hurricane Thunderclap;Impermanence of Worldly Things;Infinite Embrace;Multiple Infinite Embraces;Shadow Rope Technique;Telegram Flash,Anime,Male,,,,,Magaki Group,,Lightning Release,https://static.wikia.nocookie.net/naruto/images/9/95/Benten.PNG/revision/latest/scale-to-width-down/300?cb=20160519061328
Bisuke,,Anime;Manga;Novel;Game;Movie,Male,Summon,,,,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/2/23/Biscuit.png/revision/latest/scale-to-width-down/300?cb=20100323050846
Juzo Biwa,Hiding in Mist Technique ;Water Clone Technique ,Anime;Manga;Game,Male,Missing-nin,,Kubikiribocho,,Seven Ninja Swordsmen of the Mist,Kirigakure,Water Release  ,https://static.wikia.nocookie.net/naruto/images/c/c2/J%C5%ABz%C5%8D_Biwa.png/revision/latest/scale-to-width-down/300?cb=20220223044843
Black Shadow,Bringer-of-Darkness Technique,Game,Male,,,,,,Tree Felling Village,Yin Release,https://static.wikia.nocookie.net/naruto/images/2/2d/Black_Shadow2.png/revision/latest/scale-to-width-down/300?cb=20120705185853
Blue B,Continuous Tailed Beast Balls ;Lightning Release: Lariat ;Sensing Technique ;Tailed Beast Ball ;Tailed Beast Chakra Arms ,Anime;Manga;Game,Male,Jinchuriki,,Sword,,,Kumogakure,Lightning Release  ,https://static.wikia.nocookie.net/naruto/images/b/bd/Blue_B.png/revision/latest/scale-to-width-down/300?cb=20220124124640
Boro,Genjutsu Communication;Lava Release: Planet-Branding Blast;Self-Healing Technique;Water Release: Water Formation Wall,Anime;Manga;Game,Male,,,Dark Cloud,Inner,,Kara,Lava Release,https://static.wikia.nocookie.net/naruto/images/6/63/Boro.png/revision/latest/scale-to-width-down/300?cb=20220311140446
Boxing Kangaroos,,,Male,,,,,Four Ninja Animal Warriors,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/5/56/Kangaroo.png/revision/latest/scale-to-width-down/300?cb=20160925065454
Breeze Dancer,Big Ball Rasengan;Harem Technique;Multiple Shadow Clone Technique;Rasengan;Shadow Clone Technique;Sickle Weasel Technique;Wind Release: Vacuum Serial Waves,Game,Female,,,Giant Folding Fan,,,Konohagakure,Wind Release,https://static.wikia.nocookie.net/naruto/images/b/b1/Storm_Dancer.png/revision/latest/scale-to-width-down/300?cb=20180828061458
Bug,,Manga,Male,,,,Outer,,Kara,,https://static.wikia.nocookie.net/naruto/images/5/53/Bug_Infobox.png/revision/latest?cb=20210323133757
Bull,,Anime;Manga;Novel;Game;Movie,Male,Summon,,,,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/7/7a/Bull.png/revision/latest/scale-to-width-down/300?cb=20150123191110
Buna,,Anime;Manga,Male,,,,Gardener apprentice,,Land of Fire,,https://static.wikia.nocookie.net/naruto/images/b/b0/Buna.png/revision/latest/scale-to-width-down/300?cb=20150116194820
Bunpuku,Dharma Power Seal ;Dharma Power Sealing Technique: Sen no Rikyu ,Anime;Manga,Male,Jinchuriki,,Sand,Priest,,Sunagakure,,https://static.wikia.nocookie.net/naruto/images/5/5e/Bunpuku_anime.png/revision/latest/scale-to-width-down/300?cb=20220127144944
Bunzo,,Anime,Male,,,Sword,Loan Collector,Akagi Gang,Land of Tea,,https://static.wikia.nocookie.net/naruto/images/f/f0/Bunzo.png/revision/latest/scale-to-width-down/300?cb=20150529192134
Burami,Odour-Concealing Bubbles;Shifting Body Technique;Smell Sphere,Anime,Male,,,,,Team Kazami,Kusagakure,,https://static.wikia.nocookie.net/naruto/images/c/c8/Burami.png/revision/latest/scale-to-width-down/300?cb=20150115154732
Byakuren,,Anime;Manga,Male,,,,Mizukage,,Kirigakure,,https://static.wikia.nocookie.net/naruto/images/2/27/Byakuren.png/revision/latest/scale-to-width-down/300?cb=20141016130336
C,,Anime;Manga;Novel;Game,Male,Medical-nin,,,Fourth Raikage's Bodyguard,Kumo Council,Kumogakure,Lightning Release,https://static.wikia.nocookie.net/naruto/images/7/7a/Shee.png/revision/latest/scale-to-width-down/300?cb=20160124060948
Captain of the Ghost Ship,,,Male,,,,Captain,,,,https://static.wikia.nocookie.net/naruto/images/0/0a/Captain_of_the_ghost_ship.png/revision/latest/scale-to-width-down/300?cb=20220124194800
Gyokuro Chabashira,,Anime;Manga,Male,,,,,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/e/e4/Gyokur%C5%8D_Chabashira_Anime.png/revision/latest?cb=20210119081100
Chamaru,Fang Passing Fang;Passing Fang,Anime;Manga,Male,,Inuzuka,,,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/4/4e/Chamaru.png/revision/latest/scale-to-width-down/300?cb=20210201065043
Chamu,,Novel;Game;Movie,Male,,,,,,,,https://static.wikia.nocookie.net/naruto/images/b/bc/Cham%C5%AB.png/revision/latest/scale-to-width-down/300?cb=20160123103625
Chen,,Anime,Male,,,,,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/e/ea/Chen%28shinobi%29.png/revision/latest/scale-to-width-down/300?cb=20210925203629
Chibi,,Anime;Manga,Male,,,,,,"Ame Orphans""Ame Orphans"" is not in the list (Allied Shinobi Forces, Akatsuki, Root, Kara, Pale Blue Valley, Daidai Village, Aburame Clan, Academy, Advanced Technology Research Institute, Akagahara, ...) of allowed values for the ""Affiliation"" property.",,https://static.wikia.nocookie.net/naruto/images/d/d2/Chibi.png/revision/latest/scale-to-width-down/300?cb=20220209063003
Chichiatsu,,,,Daimyo,,,,,Land of Swamps,,
Monzaemon Chikamatsu,Puppet Technique;Sealing Technique: Lion Closing Roar;Three Jewels Suction Crushing;White Secret Technique: The Chikamatsu Collection of Ten Puppets,Anime;Manga,Male,,,Chikamatsu Collection,,,Sunagakure,,https://static.wikia.nocookie.net/naruto/images/a/a9/Monzaemon_Symbol.svg/revision/latest?cb=20090510230648
Chikara,,Anime,Male,Daimyo,,,,,Land of Noodles,,https://static.wikia.nocookie.net/naruto/images/f/f0/Chikara.png/revision/latest/scale-to-width-down/300?cb=20150626134956
Chino,,Anime;Novel;Game,Female,Sensor Type,Chinoike,,,Lightning Group  ,Land of Hot Water,Water Release,https://static.wikia.nocookie.net/naruto/images/4/4d/Chino.png/revision/latest/scale-to-width-down/300?cb=20161208121431
Chiriku,Destruction of Evil Seal ;Sealed Iron Wall;Welcoming Approach: Thousand-Armed Murder ,Anime;Manga;Game,Male,Ninja monk,,Spear ,Head Monk,Twelve Guardian Ninja,Land of Fire,,https://static.wikia.nocookie.net/naruto/images/5/5d/Chiriku.png/revision/latest/scale-to-width-down/300?cb=20211010002932
Chishima,,Anime,Male,,,,Chief Advisor's Assistant,,Land of Birds,,https://static.wikia.nocookie.net/naruto/images/5/55/Profile_Chishima.png/revision/latest/scale-to-width-down/300?cb=20150627083935
Chiyo,Manipulating Attack Blades;Mechanical Light Shield Block;Mystical Palm Technique;One's Own Life Reincarnation;Puppet Performance: Skilful Achievement with a Human Body;Puppet Technique;Puppet: Father and Mother;Puppet: Spring Punishing Strike;Reverse White Secret Technique: The Uematsu Collection of Ten Puppets ;Sealing Technique: Lion Closing Roar;Three Jewels Suction Crushing;White Secret Technique Secret Art: Collection of Illusions ;White Secret Technique: The Chikamatsu Collection of Ten Puppets;White Secret Technique: The Chikamatsu Collection of Ten Puppets: Heaven Attack,Anime;Manga;Game,Female,Medical-nin,,Antidote,Counsellor  (Retired),Puppet Brigade,Sunagakure,,
Chiyo (princess),,Anime,Female,,,,,,Land of This,,https://static.wikia.nocookie.net/naruto/images/6/6e/Princess_Chiyo.png/revision/latest/scale-to-width-down/300?cb=20161029010053
Chiyomatsu,,Anime;Manga,Male,Samurai,,Sword,,,Land of Iron,,https://static.wikia.nocookie.net/naruto/images/9/9a/Chiyomatsu.png/revision/latest/scale-to-width-down/300?cb=20210929034838
Chohan,,Anime;Manga,Male,,,,Gambler,,Land of Fire,,https://static.wikia.nocookie.net/naruto/images/c/cc/Ch%C5%8Dhan.png/revision/latest/scale-to-width-down/300?cb=20150130150454
Chojuro,Bloody Mist Sword Art: Bone Mutilation;Silent Killing;Water Release: Great Waterfall Technique ;Water Release: Water Fang Bullet ;Water Release: Water Formation Wall ;Water Release: Water Spikes ,Anime;Manga;Novel;Game;Movie,Male,,,Hiramekarei,Mizukage,Seven Ninja Swordsmen of the Mist,Kirigakure,Water Release  ,https://static.wikia.nocookie.net/naruto/images/d/d8/Chojuro_2.png/revision/latest/scale-to-width-down/300?cb=20170913102939
Chomei,Bug Bite;Chakra Transfer Technique;Cocoon ;Spear Attack Shining Horn;Tailed Beast Ball;Tailed Beast Full Charge;Tailed Beast Telepathy,Anime;Manga;Novel;Game;Movie,,Tailed Beast,,,,,Takigakure,,https://static.wikia.nocookie.net/naruto/images/7/78/Chomei.png/revision/latest/scale-to-width-down/300?cb=20130913103927
Choseki,,Anime;Manga,Male,Missing-nin,,,,,Iwagakure,,https://static.wikia.nocookie.net/naruto/images/2/2c/Ch%C5%8Dseki.png/revision/latest/scale-to-width-down/300?cb=20150118184600
Chuji,,Anime,Male,,,,,,Kumogakure,,https://static.wikia.nocookie.net/naruto/images/3/34/Chuji.png/revision/latest/scale-to-width-down/300?cb=20120315133642
Chukaku,Sealing Release Technique,Anime,Male,Ninja monk,,Prayer Beads,,Impure World Reincarnation Allied Forces,Land of Fire,,https://static.wikia.nocookie.net/naruto/images/7/77/Chukaku.png/revision/latest/scale-to-width-down/300?cb=20130606193748
Chukichi,Hiding in Frost Technique ;Sensing Technique;Silent Killing ,Anime;Manga,Male,Sensor Type,,,,Surprise Attack and Diversion Platoon,Kirigakure,Water Release  ,https://static.wikia.nocookie.net/naruto/images/1/19/Ch%C5%ABkichi_mugshot.png/revision/latest/scale-to-width-down/300?cb=20210918014604
Chushin,Barrier Shattering Technique;Chakra Transfer Technique;Combination Transformation;Hurricane Thunderclap;Impermanence of Worldly Things;Infinite Embrace;Multiple Infinite Embraces;Shadow Rope Technique;Telegram Flash,Anime,Male,,,Fuma Shuriken,,Magaki Group,,Lightning Release,https://static.wikia.nocookie.net/naruto/images/0/09/Chushin.PNG/revision/latest/scale-to-width-down/300?cb=20170111073941
Code,Claw Grime ;Claw Mark;Genjutsu Communication;Kāma,Anime;Manga;Game,Male,,,Microscopic Scientific Ninja Tools ,Inner,,Kara,Yin Release,https://static.wikia.nocookie.net/naruto/images/3/38/Code.png/revision/latest/scale-to-width-down/300?cb=20210126070355
Conch King,Conch Cannon;Conch Whip;Water Release Genjutsu: Demonic Phantom Fog Prison,Anime,,Summon,,,,,Amegakure,Water Release,https://static.wikia.nocookie.net/naruto/images/0/0a/Conch_King.png/revision/latest/scale-to-width-down/300?cb=20160129043528
Condor,Ostrich Aerial;Ostrich Meteor Blast;Ostrich Rising Dragon Bullet;Ostrich Whirlwind Attack;Shining Ostrich Kick,Anime;Game,Male,,,,Leader of the Four Ninja Animal Warriors,Four Ninja Animal Warriors,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/3/3a/Condor_Infobox.png/revision/latest/scale-to-width-down/300?cb=20180509112849
Crimson Fist,Earth Release: Added-Weight Rock Technique;Earth Release: Earth Mausoleum Dumpling;Earth Release: Fist Rock Technique;Earth Release: Hardening Technique;Earth Release: Light-Weight Rock Technique;Earth Release: Super Fist Rock Technique;Earth Release: Ultralight-Weight Rock Technique;Front Lotus;Leaf Whirlwind;Summoning Technique (Slug),Game,Male,,,,,,Konohagakure,Wood Release,https://static.wikia.nocookie.net/naruto/images/7/7d/Crimson_Fist.png/revision/latest?cb=20180828062328
Curse Jutsu Master,Cursed Doll,,Male,,,,,,,,https://static.wikia.nocookie.net/naruto/images/0/0c/Curse_Jutsu_Master.png/revision/latest?cb=20190429002214
Cursed Warrior,,Anime,,Samurai,,,,,Land of Birds,,https://static.wikia.nocookie.net/naruto/images/8/8c/The_Cursed_Warrior.png/revision/latest/scale-to-width-down/300?cb=20140403214008
Daemon,Reflection Shinjutsu,Manga,Male,,,,,,Kara,,https://static.wikia.nocookie.net/naruto/images/2/27/Daemon.png/revision/latest/scale-to-width-down/300?cb=20210721041011
Daibutsu,Water Prison Technique,Anime,Male,,,Bo,,,Akatsuki,Water Release,https://static.wikia.nocookie.net/naruto/images/a/a2/Daibutsu1.png/revision/latest/scale-to-width-down/300?cb=20140123134743
Daichi,,Anime;Manga,Male,,,,,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/0/07/Daichi.png/revision/latest/scale-to-width-down/300?cb=20150129192547
Tenzen Daikoku,,Anime,Male,,,,Politician,,Land of Water,,https://static.wikia.nocookie.net/naruto/images/d/d6/Tenzen_Daikoku.png/revision/latest/scale-to-width-down/300?cb=20210811195055
Tenzen's Bodyguard,,,Male,,,,Bodyguard,,Land of Waves,,https://static.wikia.nocookie.net/naruto/images/f/f8/Tenzen%27s_Bodyguard.png/revision/latest/scale-to-width-down/300?cb=20210811194442
Daimaru,Earth Release: Sand Dance,Anime,Male,,,,,Impure World Reincarnation Allied Forces,Sunagakure,Earth Release,https://static.wikia.nocookie.net/naruto/images/1/1f/Daimaru_profile.png/revision/latest/scale-to-width-down/300?cb=20130606201128
Calm Seas Daimyo,,,Male,Daimyo,,,,,Land of Calm Seas,,
Claw Daimyo,,,,Daimyo,,,,,Land of Claws,,
Earth Daimyo,,Anime;Manga,Male,Daimyo,,,,,Land of Earth,,https://static.wikia.nocookie.net/naruto/images/6/6f/Tsuchi_Daimyo.png/revision/latest/scale-to-width-down/300?cb=20110630122145
Fang Daimyo,,,Male,Daimyo,,,,,Land of Fangs,,https://static.wikia.nocookie.net/naruto/images/7/77/Fang_Daimyo.png/revision/latest/scale-to-width-down/300?cb=20150627065317
Fire Daimyo (Part I-II),,Anime;Manga;Novel;Movie,Male,Daimyo,,,,,Land of Fire,,https://static.wikia.nocookie.net/naruto/images/d/d6/Fire_Daimy%C5%8D.png/revision/latest/scale-to-width-down/300?cb=20150405173111
Frost Daimyo,,Anime;Manga,Male,Daimyo,,,,,Land of Frost,,https://static.wikia.nocookie.net/naruto/images/8/81/Land_of_Frost_Daimyo.png/revision/latest/scale-to-width-down/300?cb=20210818193059
Hot Water Daimyo,,Anime;Manga,Male,Daimyo,,,,,Land of Hot Water,,https://static.wikia.nocookie.net/naruto/images/b/b0/Hot_water_daimyo.png/revision/latest/scale-to-width-down/300?cb=20120510121311
Lightning Daimyo,,Anime;Manga,Male,Daimyo,,,,,Land of Lightning,,https://static.wikia.nocookie.net/naruto/images/9/9b/Lightning_daimyo.png/revision/latest/scale-to-width-down/300?cb=20160115165715
Sound Daimyo,,,Male,Daimyo,,,,,Land of Sound,,https://static.wikia.nocookie.net/naruto/images/7/7e/Sound_daimyo.png/revision/latest/scale-to-width-down/300?cb=20150601123454
Tea Daimyo,,Anime,Male,Daimyo,,,,,Land of Tea,,https://static.wikia.nocookie.net/naruto/images/3/39/Tea_damiyo.png/revision/latest/scale-to-width-down/300?cb=20150220210229
Evil Minister of the Tea Daimyo,,Anime,Male,,,,Minister  (Former),,Land of Tea,,https://static.wikia.nocookie.net/naruto/images/7/75/Minister_of_the_Land_of_Tea%27s_Daimy%C5%8D.png/revision/latest/scale-to-width-down/300?cb=20150220210143
This Daimyo,,Anime,Male,Daimyo,,,,,Land of This,,https://static.wikia.nocookie.net/naruto/images/a/ad/Daimyo.png/revision/latest/scale-to-width-down/300?cb=20161028233736
Valleys Daimyo,,,Male,Daimyo,,,,,Land of Valleys,,https://static.wikia.nocookie.net/naruto/images/7/7b/Valleys%27_Daimy%C5%8D.png/revision/latest/scale-to-width-down/300?cb=20201110072428
Water Daimyo,,Anime;Manga,Male,Daimyo,,,,,Land of Water,,https://static.wikia.nocookie.net/naruto/images/1/1f/Mizu_Daimyo.png/revision/latest/scale-to-width-down/300?cb=20140408084444
Wind Daimyo (Part I),,Anime;Manga,Male,Daimyo,,,,,Land of Wind,,https://static.wikia.nocookie.net/naruto/images/5/52/Wind_Daimy%C5%8D_%28Part_I%29.png/revision/latest/scale-to-width-down/300?cb=20150130085715
Wind Daimyo (Part II),,Anime;Manga,Male,Daimyo,,,,,Land of Wind,,https://static.wikia.nocookie.net/naruto/images/6/6d/New_Wind_Daimyo.png/revision/latest/scale-to-width-down/300?cb=20110630154427
Dajimu,,,,,,,,,Konohagakure,,
Dango,,Anime;Manga,Male,,,,Minister,,Land of Fire,,https://static.wikia.nocookie.net/naruto/images/b/bf/Dango_Fire.png/revision/latest/scale-to-width-down/300?cb=20141110133249
Danjo,,,Male,Daimyo,,,,,Land of Earth,,
Darui,Black Lightning;Double Black Panther ;Lightning Release: Black Panther;Lightning Release: Wave of Inspiration;Shadow Clone Technique ;Storm Release: Laser Circus;Water Release: Water Formation Wall,Anime;Manga;Novel;Game;Movie,Male,,,Benihisago,First Division Commander of the Allied Shinobi Forces,Kumo Council,Kumogakure,Storm Release,https://static.wikia.nocookie.net/naruto/images/4/45/Darui.png/revision/latest/scale-to-width-down/300?cb=20170913102716
Datsuji,Water Release: Mouth Shot,,Male,,,Flash Bomb,,Team Goji,Sunagakure,Water Release,https://static.wikia.nocookie.net/naruto/images/6/65/Datsuji.png/revision/latest/scale-to-width-down/300?cb=20211026003429
Deepa,Carbon Armour;Carbon Control;Carbon Ring;Carbon Whip;Genjutsu Communication,Anime,Male,,,,Inner,,Kara,Yin Release,https://static.wikia.nocookie.net/naruto/images/6/69/Deepa.png/revision/latest/scale-to-width-down/300?cb=20201122142725
Deidara,Clay Clone;Earth Release: Hiding Like a Mole Technique;Explosive Clay;Explosive Clay Dolls ;Explosive Landmines;Five-Seal Barrier Pass Technique;Iwagakure Kinjutsu;Shadow Clone Technique;Suicide Bombing Clone,Anime;Manga;Novel;Game;Movie,Male,S-rank,,Eye Scope,Terrorist Bomber,Explosion Corps,Iwagakure,Explosion Release,https://static.wikia.nocookie.net/naruto/images/0/06/Deidara.png/revision/latest/scale-to-width-down/300?cb=20160113165515
Delta,Genjutsu Communication,Anime;Manga;Game,Female,,,Absorbing Eye,Inner  (Former),,Kara,Yin Release,https://static.wikia.nocookie.net/naruto/images/7/7c/Delta_Infobox.png/revision/latest/scale-to-width-down/300?cb=20210813151341
Demonic Statue of the Outer Path,,Anime;Manga;Novel;Game;Movie,,Summon,,,,,Akatsuki,,https://static.wikia.nocookie.net/naruto/images/f/fe/Gedo_Mazo.png/revision/latest/scale-to-width-down/300?cb=20160124082312
Dengaku,,Anime;Manga,Male,,,,Shopkeeper of an oden stall,,Land of Fire,,https://static.wikia.nocookie.net/naruto/images/f/f6/Dengaku.png/revision/latest/scale-to-width-down/300?cb=20150117112616
Denka,,Anime;Manga,Male,,,,,,,,https://static.wikia.nocookie.net/naruto/images/1/13/Denka.png/revision/latest/scale-to-width-down/300?cb=20160223185709
Disonasu,Scroll Communication Technique;Summoning Technique,Anime,Male,,,Ama no Hoko,Head of Hacho Village,,Hacho Village,,https://static.wikia.nocookie.net/naruto/images/2/2d/Disonasu.png/revision/latest/scale-to-width-down/300?cb=20121122142149
Dodai,Lava Release: Rubber Ball;Lava Release: Rubber Defence;Lava Release: Rubber Rope;Lava Release: Rubber Wall,Anime;Manga;Game,Male,,,,Raikage Attendant,Fourth Division,Kumogakure,Lava Release,https://static.wikia.nocookie.net/naruto/images/9/92/Dodai_HDshot.png/revision/latest/scale-to-width-down/300?cb=20170125161312
Dokan,,Anime,Male,,,,,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/3/3d/Dokan.png/revision/latest/scale-to-width-down/300?cb=20160709065951
Doki,,Anime;Manga;Game,,Summon,,Club,,,Otogakure,Yin Release,https://static.wikia.nocookie.net/naruto/images/2/2c/Doki.png/revision/latest/scale-to-width-down/300?cb=20150220084440
Dokku,,Anime,Male,,,Ama no Hoko,Militia Officer  (Former),,Tonika Village,,https://static.wikia.nocookie.net/naruto/images/e/eb/Dokku2.png/revision/latest/scale-to-width-down/300?cb=20121207190316
Mawashi Dokuraku,Psycho Mind Transmission,Anime;Manga,Male,,,Mind Reading Amplification Machine,,Analysis Team,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/d/d5/Mawashi_Dokuraku.png/revision/latest/scale-to-width-down/300?cb=20141110205645
Don,,Anime,Male,,,,Leader of the Koalas,,Kumogakure,,https://static.wikia.nocookie.net/naruto/images/e/ea/Don_The_Koala.png/revision/latest/scale-to-width-down/300?cb=20120315133258
Doragu,,Anime,Male,,,,Criminal,,,,https://static.wikia.nocookie.net/naruto/images/5/53/Doragu.png/revision/latest/scale-to-width-down/300?cb=20200208174051
Doshin,Demonic Illusion: False Surroundings Technique;Forbidden Summoning Technique: Fire Rats Cometh;Forbidden Technique: Mud Golem,Game,Male,Missing-nin,,,,Leaf's Anbu,Konohagakure,Earth Release,https://static.wikia.nocookie.net/naruto/images/d/da/Doshin.png/revision/latest/scale-to-width-down/300?cb=20101015153716
Daore Dotonbori,,Anime;Novel,Male,,,,,Exploding-Till-You-Eat,,,https://static.wikia.nocookie.net/naruto/images/c/c4/Daore.png/revision/latest/scale-to-width-down/300?cb=20190422013412
Kui Dotonbori,,Anime;Novel,Male,,,,,Exploding-Till-You-Eat,,,https://static.wikia.nocookie.net/naruto/images/7/76/Kui.png/revision/latest/scale-to-width-down/300?cb=20190222112125
Dread Lion,,Anime,Male,,,,,,,,https://static.wikia.nocookie.net/naruto/images/d/de/Dread_lion.png/revision/latest/scale-to-width-down/300?cb=20120908221738
Might Duy,,Anime;Manga;Game,Male,,,,,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/b/b7/Might_Duy.png/revision/latest/scale-to-width-down/300?cb=20150702114443
Earth Prison Golem,,Anime,,Summon,,,,,Otogakure,Earth Release,https://static.wikia.nocookie.net/naruto/images/e/e5/Jir%C5%8Db%C5%8D%27s_Earth_Golem.png/revision/latest/scale-to-width-down/300?cb=20211126051203
Ebisu,,Anime;Manga;Game;Movie,Male,,,,Personal Trainer,Team Choza,Konohagakure,Fire Release  ,https://static.wikia.nocookie.net/naruto/images/7/77/Ebisu.png/revision/latest/scale-to-width-down/300?cb=20160626182251
Ebizo,,Anime;Manga;Novel;Game;Movie,Male,,,,Senior  ,Honoured Siblings,Sunagakure,,https://static.wikia.nocookie.net/naruto/images/0/02/Ebiz%C5%8D.png/revision/latest/scale-to-width-down/300?cb=20160626182848
Emi,,Anime;Manga;Game,Female,,,,Tailor shop worker,,Land of Fire,,https://static.wikia.nocookie.net/naruto/images/a/a1/Emi.png/revision/latest/scale-to-width-down/300?cb=20150116204921
Emina,,Novel;Movie,Female,,,,Traveller,,,,https://static.wikia.nocookie.net/naruto/images/c/c7/Emina.png/revision/latest/scale-to-width-down/300?cb=20150211115117
Emiru,,Anime;Manga,Female,,,,Traveller,,Land of Fire,,https://static.wikia.nocookie.net/naruto/images/7/74/Emiru.png/revision/latest?cb=20150725182731
En no Gyoja,Fury,Anime,Male,,Tsuchigumo,,Head of the Tsuchigumo clan,,Tsuchigumo Village,,https://static.wikia.nocookie.net/naruto/images/2/21/En_no_Gy%C5%8Dja.png/revision/latest/scale-to-width-down/300?cb=20160215193023
Enra,Adamantine Seal: Monkey Yang Suppression;Transformation: Adamantine Staff,Anime;Game,Male,Summon,,,,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/a/a5/Enra.png/revision/latest/scale-to-width-down/300?cb=20190812125034
F,,Anime;Manga,Male,,,,,,Kumogakure,,https://static.wikia.nocookie.net/naruto/images/b/be/F_HDShot.png/revision/latest/scale-to-width-down/300?cb=20130117143137
Faz,,Anime,Male,,,,,,Tonika Village,,https://static.wikia.nocookie.net/naruto/images/b/b2/Faz.png/revision/latest/scale-to-width-down/300?cb=20121130140932
Fu,,Anime;Manga;Game,Female,Jinchuriki,,,,Team Fu  ,Takigakure,,https://static.wikia.nocookie.net/naruto/images/f/f6/Fu.png/revision/latest/scale-to-width-down/300?cb=20220205122040
Fudo,Earth Release Resurrection Technique: Corpse Soil;Earth Release: Antlion Technique;Earth Release: Bedrock Coffin;Earth Release: Bullet Rock Technique;Earth Release: Earth Flow Spears;Earth Release: Earth-Style Rampart;Earth Release: Earth-Style Wall;Earth Release: Fissure;Earth Release: Ground Bedrock;Earth Release: Hiding in Rock Technique;Earth Release: Lithic Press;Earth Release: Mutability;Earth Release: Rock Pillar Prison Technique;Earth Release: Rock Trail;Earth Release: Tearing Earth Turning Palm;Finger Carving Seal;Rock Armour;Summoning Technique,Anime,Male,,,Altering Terrain Diagram Scroll,,Furido's 4-Man Team,Land of Fire,Earth Release,https://static.wikia.nocookie.net/naruto/images/4/45/Fud%C5%8D.PNG/revision/latest/scale-to-width-down/300?cb=20160702072037
Kyoho Fuefuki,,Anime;Novel,Male,,,Kabutowari ,,New Seven Ninja Swordsmen,Kirigakure,,https://static.wikia.nocookie.net/naruto/images/4/4b/Kyoh%C5%8D_Fuefuki.png/revision/latest/scale-to-width-down/300?cb=20220523040330
Fuen,Altering Terrain Technique;Barrier Gate Five Seals Technique: Castle Closing Eight Gates;Earth Release: Hiding in Rock Technique;Earth Release: Rock Section Cane;Poison Moth Genjutsu,Anime,Female,,,Altering Terrain Diagram Scroll,,Furido's 4-Man Team,Land of Fire,Earth Release,https://static.wikia.nocookie.net/naruto/images/b/b5/Fuen.PNG/revision/latest/scale-to-width-down/300?cb=20210902222918
Fugai,Fugai's Howl,Novel;Movie,Female,,,Stone of Gelel,,Haido's Knights,Temujin's Continent,,https://static.wikia.nocookie.net/naruto/images/4/43/Fugai.png/revision/latest/scale-to-width-down/300?cb=20150212130049
Fugi,Sandstorm Barrier,Anime,Male,,,Sand,,,Sunagakure,,https://static.wikia.nocookie.net/naruto/images/8/87/Fugi%27s_Face.png/revision/latest/scale-to-width-down/300?cb=20150602050832
Fugo,,Anime,Male,,,,,,,,https://static.wikia.nocookie.net/naruto/images/a/a9/Fug%C5%8D.png/revision/latest/scale-to-width-down/300?cb=20221214160522
Fujin,,Anime,Male,,,,,Legendary Stupid Brothers,,,https://static.wikia.nocookie.net/naruto/images/e/e1/F%C5%ABjin.png/revision/latest/scale-to-width-down/300?cb=20150601183548
Fuka,Naruto Mobile20162016,Anime;Game,Female,,,,,Furido's 4-Man Team,Land of Fire,Fire Release,https://static.wikia.nocookie.net/naruto/images/1/1f/Fuuka.png/revision/latest/scale-to-width-down/300?cb=20170415211832
Fukasaku,Demonic Illusion: Toad Confrontation Chant;Fighting Tongue Slash;Frog Kata;Reverse Summoning Technique;Sage Art: Amphibian Technique;Sage Art: Frog Call;Sage Art: Goemon;Sage Mode,Anime;Manga;Novel;Game;Movie,Male,Sage,,Fuma Shuriken,Toad Elder,Two Great Sage Toads,Mount Myoboku,Wind Release,https://static.wikia.nocookie.net/naruto/images/f/fc/Fukusaku.png/revision/latest/scale-to-width-down/300?cb=20160510201946
Fuki,,Anime;Manga,Female,,,,,,Konohagakure,,https://static.wikia.nocookie.net/naruto/images/f/f7/Fuki.png/revision/latest/scale-to-width-down/300?cb=20141014124743
Fuki (Land of Sound),,Anime,Female,,,,,,Land of Sound,,https://static.wikia.nocookie.net/naruto/images/c/c5/Fuki_%28Land_of_Sound%29.png/revision/latest/scale-to-width-down/300?cb=20150302185845
Fuku,,Anime,Female,,,,Princess,,Land of Noodles,,https://static.wikia.nocookie.net/naruto/images/1/1a/Fuku.png/revision/latest/scale-to-width-down/300?cb=20150626135045
Kiyomu Fukuda,,,,,,,,,Konohagakure,,
Fukuemon,,Anime;Manga;Game,Male,Summon,,,,,Kumogakure,,https://static.wikia.nocookie.net/naruto/images/b/b5/Fukuemon.png/revision/latest/scale-to-width-down/300?cb=20220223080240
